Promedio horarios de so2Promedio horarios de so2
Fecha,Hora,ACO,AJM,AJU,ARA,ATI,AZC,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LAG,LLA,LPR,LVI,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VAL,VIF,XAL,
19-01-2015,20,3,7,nr,nr,7,nr,nr,8,7,nr,nr,2,nr,8,6,8,nr,nr,7,nr,6,nr,4,nr,nr,7,7,nr,5,9,nr,nr,3,6,6,7,nr,5,nr,nr,10,6,4,7,6,nr,7,7,
19-01-2015,21,1,6,nr,nr,5,nr,nr,8,5,nr,nr,2,nr,8,3,7,nr,nr,7,nr,6,nr,3,nr,nr,6,7,nr,4,7,nr,nr,3,nr,5,6,nr,5,nr,nr,9,4,4,5,4,nr,3,4,
19-01-2015,22,1,6,nr,nr,4,nr,nr,4,4,nr,nr,2,nr,7,2,6,nr,nr,3,nr,3,nr,2,nr,nr,2,5,nr,2,7,nr,nr,2,6,2,4,nr,3,nr,nr,5,2,4,3,2,nr,2,2,
19-01-2015,23,1,3,nr,nr,4,nr,nr,5,1,nr,nr,2,nr,5,2,5,nr,nr,3,nr,2,nr,1,nr,nr,2,4,nr,2,6,nr,nr,1,4,3,2,nr,2,nr,nr,5,4,2,2,3,nr,4,3,
19-01-2015,24,1,3,nr,nr,4,nr,nr,6,3,nr,nr,2,nr,4,2,4,nr,nr,4,nr,3,nr,2,nr,nr,3,4,nr,2,4,nr,nr,2,3,4,3,nr,2,nr,nr,5,4,1,3,3,nr,4,4,
20-01-2015,1,1,2,nr,nr,3,nr,nr,5,2,nr,nr,2,nr,3,1,3,nr,nr,4,nr,4,nr,2,nr,nr,4,4,nr,3,3,nr,nr,2,2,6,3,nr,2,nr,nr,5,4,2,3,3,nr,4,5,
20-01-2015,2,1,2,nr,nr,3,nr,nr,4,1,nr,nr,3,nr,2,1,2,nr,nr,4,nr,4,nr,2,nr,nr,4,3,nr,2,3,nr,nr,1,2,5,2,nr,2,nr,nr,4,4,1,3,4,nr,4,6,
20-01-2015,3,0,2,nr,nr,2,nr,nr,4,1,nr,nr,2,nr,3,1,3,nr,nr,4,nr,4,nr,2,nr,nr,3,2,nr,9,3,nr,nr,1,3,3,2,nr,1,nr,nr,4,4,1,2,3,nr,3,3,
20-01-2015,4,0,2,nr,nr,2,nr,nr,5,1,nr,nr,3,nr,3,1,2,nr,nr,3,nr,4,nr,2,nr,nr,2,2,nr,4,3,nr,nr,1,2,2,1,nr,1,nr,nr,4,2,1,2,4,nr,3,3,
20-01-2015,5,0,3,nr,nr,2,nr,nr,3,1,nr,nr,3,nr,2,1,2,nr,nr,3,nr,3,nr,2,nr,nr,3,2,nr,1,2,nr,nr,2,2,2,1,nr,1,nr,nr,3,3,1,2,3,nr,3,5,
20-01-2015,6,1,2,nr,nr,2,nr,nr,3,1,nr,nr,2,nr,3,1,2,nr,nr,3,nr,3,nr,3,nr,nr,4,2,nr,2,2,nr,nr,2,2,6,2,nr,1,nr,nr,3,3,1,2,2,nr,3,9,
20-01-2015,7,1,2,nr,nr,2,nr,nr,4,1,nr,nr,3,nr,4,1,3,nr,nr,3,nr,5,nr,3,nr,nr,5,3,nr,2,2,nr,nr,2,3,6,2,nr,1,nr,nr,5,4,1,2,3,nr,4,10,
20-01-2015,8,2,2,nr,nr,4,nr,nr,7,3,nr,nr,3,nr,6,2,6,nr,nr,4,nr,8,nr,3,nr,nr,7,3,nr,3,3,nr,nr,4,3,6,3,nr,2,nr,nr,9,5,1,2,6,nr,4,17,
20-01-2015,9,2,2,nr,nr,4,nr,nr,9,6,nr,nr,7,nr,6,3,6,nr,nr,5,nr,9,nr,3,nr,nr,8,4,nr,4,4,nr,nr,4,3,6,3,nr,1,nr,nr,8,4,2,2,6,nr,5,19,
20-01-2015,10,2,3,nr,nr,5,nr,nr,nr,3,nr,nr,4,nr,4,5,11,nr,nr,5,nr,7,nr,3,nr,nr,5,3,nr,5,4,nr,nr,5,3,5,3,nr,1,nr,nr,7,4,4,3,5,nr,5,15,
20-01-2015,11,2,2,nr,nr,4,nr,nr,nr,3,nr,nr,4,nr,3,6,8,nr,nr,5,nr,6,nr,4,nr,nr,5,3,nr,5,4,nr,nr,5,3,5,3,nr,2,nr,nr,7,4,4,5,5,nr,4,11,
20-01-2015,12,2,2,nr,nr,4,nr,nr,nr,3,nr,nr,4,nr,3,5,5,nr,nr,4,nr,5,nr,4,nr,nr,5,3,nr,4,4,nr,nr,5,3,5,3,nr,3,nr,nr,9,4,3,4,5,nr,4,8,
20-01-2015,13,2,2,nr,nr,4,nr,nr,4,2,nr,nr,4,nr,3,4,5,nr,nr,4,nr,4,nr,3,nr,nr,4,4,nr,3,3,nr,nr,3,3,4,3,nr,2,nr,nr,5,2,2,3,4,nr,3,4,
20-01-2015,14,2,1,nr,nr,3,nr,nr,3,2,nr,nr,3,nr,3,3,4,nr,nr,3,nr,2,nr,2,nr,nr,3,2,nr,2,4,nr,nr,3,3,4,2,nr,2,nr,nr,4,2,2,3,3,nr,2,4,
20-01-2015,15,1,2,nr,nr,3,nr,nr,3,2,nr,nr,3,nr,3,3,3,nr,nr,3,nr,3,nr,2,nr,nr,3,3,nr,2,4,nr,nr,2,3,3,2,nr,3,nr,nr,4,1,2,3,3,nr,1,4,
20-01-2015,16,2,2,nr,nr,3,nr,nr,3,2,nr,nr,3,nr,3,4,3,nr,nr,3,nr,3,nr,2,nr,nr,3,3,nr,3,4,nr,nr,2,3,3,2,nr,3,nr,nr,4,1,2,3,3,nr,1,3,
20-01-2015,17,2,2,nr,nr,3,nr,nr,3,2,nr,nr,3,nr,3,3,3,nr,nr,3,nr,3,nr,2,nr,nr,3,3,nr,2,3,nr,nr,2,3,3,2,nr,3,nr,nr,4,3,2,3,3,nr,2,3,
20-01-2015,18,2,1,nr,nr,4,nr,nr,3,2,nr,nr,2,nr,3,4,3,nr,nr,3,nr,3,nr,2,nr,nr,3,2,nr,2,3,nr,nr,2,2,3,2,nr,3,nr,nr,4,2,2,3,3,nr,3,3,
20-01-2015,19,1,2,nr,nr,4,nr,nr,4,2,nr,nr,2,nr,3,6,3,nr,nr,3,nr,3,nr,2,nr,nr,3,2,nr,3,3,nr,nr,2,2,3,2,nr,2,nr,nr,6,2,2,3,3,nr,2,4,
20-01-2015,20,1,1,nr,nr,3,nr,nr,3,2,nr,nr,2,nr,3,23,3,nr,nr,3,nr,2,nr,2,nr,nr,3,2,nr,3,3,nr,nr,2,2,4,2,nr,2,nr,nr,6,3,2,2,3,nr,1,5,
20-01-2015,21,1,1,nr,nr,3,nr,nr,4,2,nr,nr,2,nr,2,3,4,nr,nr,4,nr,2,nr,2,nr,nr,3,2,nr,3,3,nr,nr,2,2,3,2,nr,2,nr,nr,9,3,1,3,3,nr,2,4,
20-01-2015,22,1,3,nr,nr,3,nr,nr,6,2,nr,nr,2,nr,4,2,6,nr,nr,5,nr,4,nr,2,nr,nr,3,5,nr,3,3,nr,nr,2,3,3,2,nr,2,nr,nr,7,3,1,2,3,nr,2,7,
20-01-2015,23,1,4,nr,nr,2,nr,nr,6,3,nr,nr,4,nr,3,1,5,nr,nr,9,nr,6,nr,2,nr,nr,4,6,nr,5,4,nr,nr,2,3,3,4,nr,2,nr,nr,5,2,2,3,3,nr,2,5,
20-01-2015,24,2,4,nr,nr,2,nr,nr,5,3,nr,nr,3,nr,3,1,4,nr,nr,8,nr,8,nr,2,nr,nr,6,4,nr,2,4,nr,nr,2,3,3,4,nr,2,nr,nr,4,2,2,3,5,nr,2,4,
21-01-2015,1,1,5,nr,nr,1,nr,nr,3,2,nr,nr,11,nr,5,1,5,nr,nr,5,nr,4,nr,2,nr,nr,4,2,nr,2,4,nr,nr,3,4,4,3,nr,2,nr,nr,3,1,2,2,5,nr,1,4,
21-01-2015,2,1,5,nr,nr,1,nr,nr,2,2,nr,nr,2,nr,5,1,4,nr,nr,3,nr,4,nr,2,nr,nr,4,2,nr,2,4,nr,nr,2,4,4,2,nr,2,nr,nr,2,1,2,2,3,nr,1,5,
21-01-2015,3,2,2,nr,nr,1,nr,nr,2,2,nr,nr,2,nr,4,0,3,nr,nr,5,nr,3,nr,1,nr,nr,5,2,nr,4,3,nr,nr,2,3,4,2,nr,1,nr,nr,3,1,1,2,3,nr,1,4,
21-01-2015,4,1,2,nr,nr,1,nr,nr,3,1,nr,nr,1,nr,3,1,2,nr,nr,4,nr,2,nr,2,nr,nr,4,2,nr,8,3,nr,nr,2,2,3,2,nr,1,nr,nr,2,1,1,2,2,nr,2,5,
21-01-2015,5,1,2,nr,nr,1,nr,nr,3,1,nr,nr,2,nr,3,1,2,nr,nr,3,nr,2,nr,2,nr,nr,3,2,nr,9,2,nr,nr,2,2,3,2,nr,1,nr,nr,2,1,1,2,3,nr,2,5,
21-01-2015,6,0,2,nr,nr,1,nr,nr,2,1,nr,nr,1,nr,3,1,2,nr,nr,3,nr,2,nr,3,nr,nr,3,2,nr,6,2,nr,nr,3,2,5,2,nr,1,nr,nr,3,2,1,2,2,nr,2,5,
21-01-2015,7,1,1,nr,nr,1,nr,nr,4,1,nr,nr,2,nr,4,1,3,nr,nr,2,nr,3,nr,3,nr,nr,2,2,nr,5,2,nr,nr,3,2,4,1,nr,1,nr,nr,6,2,1,2,3,nr,2,10,
21-01-2015,8,2,2,nr,nr,3,nr,nr,7,2,nr,nr,2,nr,3,2,6,nr,nr,3,nr,5,nr,3,nr,nr,5,2,nr,8,3,nr,nr,4,2,7,2,nr,1,nr,nr,7,3,1,2,5,nr,3,16,
21-01-2015,9,2,2,nr,nr,3,nr,nr,8,4,nr,nr,2,nr,3,3,6,nr,nr,4,nr,5,nr,6,nr,nr,6,2,nr,7,4,nr,nr,6,3,8,2,nr,2,nr,nr,9,4,2,2,7,nr,3,10,
21-01-2015,10,2,2,nr,nr,4,nr,nr,7,2,nr,nr,nr,nr,3,4,11,nr,nr,3,nr,6,nr,5,nr,nr,7,2,nr,3,3,nr,nr,6,3,6,2,nr,2,nr,nr,7,4,3,2,6,nr,4,8,
21-01-2015,11,2,2,nr,nr,4,nr,nr,3,2,nr,nr,2,nr,2,5,6,nr,nr,4,nr,4,nr,2,nr,nr,5,2,nr,2,3,nr,nr,5,2,6,2,nr,2,nr,nr,5,3,3,2,3,nr,4,5,
21-01-2015,12,1,1,nr,nr,3,nr,nr,3,2,nr,nr,1,nr,2,3,4,nr,nr,3,nr,2,nr,3,nr,nr,3,2,nr,2,3,nr,nr,4,2,3,2,nr,1,nr,nr,4,1,2,2,2,nr,2,4,
21-01-2015,13,1,1,nr,nr,2,nr,nr,2,1,nr,nr,1,nr,2,2,3,nr,nr,2,nr,2,nr,2,nr,nr,2,1,nr,2,2,nr,nr,2,2,2,2,nr,2,nr,nr,3,1,2,2,2,nr,2,3,
21-01-2015,14,1,1,nr,nr,2,nr,nr,1,1,nr,nr,1,nr,2,2,2,nr,nr,2,nr,1,nr,2,nr,nr,1,1,nr,2,2,nr,nr,2,2,2,1,nr,1,nr,nr,3,1,1,2,2,nr,2,2,
21-01-2015,15,1,1,nr,nr,2,nr,nr,1,1,nr,nr,1,nr,2,2,2,nr,nr,1,nr,1,nr,2,nr,nr,1,1,nr,2,2,nr,nr,1,1,2,1,nr,2,nr,nr,2,1,1,2,2,nr,2,2,
21-01-2015,16,1,0,nr,nr,1,nr,nr,1,1,nr,nr,2,nr,1,2,1,nr,nr,1,nr,2,nr,1,nr,nr,1,1,nr,1,2,nr,nr,1,1,2,1,nr,nr,nr,nr,2,0,1,2,2,nr,1,3,
21-01-2015,17,1,0,nr,nr,1,nr,nr,1,1,nr,nr,1,nr,1,2,1,nr,nr,1,nr,2,nr,2,nr,nr,1,0,nr,2,2,nr,nr,1,1,2,1,nr,nr,nr,nr,2,1,1,2,1,nr,1,2,
21-01-2015,18,1,0,nr,nr,0,nr,nr,1,1,nr,nr,1,nr,1,0,1,nr,nr,1,nr,2,nr,1,nr,nr,1,0,nr,1,2,nr,nr,1,1,2,1,nr,nr,nr,nr,2,1,1,2,2,nr,1,2,
21-01-2015,19,1,0,nr,nr,1,nr,nr,1,1,nr,nr,2,nr,1,1,2,nr,nr,1,nr,1,nr,1,nr,nr,1,0,nr,2,1,nr,nr,1,1,2,1,nr,nr,nr,nr,3,0,1,2,2,nr,1,2,
21-01-2015,20,1,0,nr,nr,1,nr,nr,1,0,nr,nr,2,nr,1,1,2,nr,nr,2,nr,1,nr,1,nr,nr,2,1,nr,3,1,nr,nr,1,1,2,1,nr,nr,nr,nr,3,2,1,2,2,nr,1,6,
21-01-2015,21,1,0,nr,nr,1,nr,nr,1,0,nr,nr,2,nr,1,1,2,nr,nr,1,nr,3,nr,1,nr,nr,1,1,nr,2,1,nr,nr,1,1,2,1,nr,nr,nr,nr,2,1,1,2,1,nr,2,4,
21-01-2015,22,1,0,nr,nr,2,nr,nr,2,0,nr,nr,2,nr,1,1,2,nr,nr,1,nr,1,nr,1,nr,nr,1,1,nr,2,1,nr,nr,2,1,2,1,nr,nr,nr,nr,5,1,1,2,1,nr,2,4,
21-01-2015,23,1,0,nr,nr,2,nr,nr,1,1,nr,nr,2,nr,1,1,2,nr,nr,1,nr,1,nr,1,nr,nr,1,1,nr,3,2,nr,nr,2,1,3,1,nr,nr,nr,nr,5,1,1,2,2,nr,3,4,
21-01-2015,24,1,0,nr,nr,2,nr,nr,2,1,nr,nr,1,nr,1,1,2,nr,nr,1,nr,2,nr,1,nr,nr,1,1,nr,5,2,nr,nr,1,1,4,1,nr,nr,nr,nr,3,1,1,2,2,nr,3,4,
22-01-2015,1,1,0,nr,nr,1,nr,nr,2,1,nr,nr,1,nr,1,1,2,nr,nr,1,nr,2,nr,1,nr,nr,1,1,nr,2,1,nr,nr,1,1,3,1,nr,nr,nr,nr,2,1,1,2,2,nr,2,6,
22-01-2015,2,1,0,nr,nr,1,nr,nr,3,1,nr,nr,1,nr,1,1,1,nr,nr,1,nr,2,nr,2,nr,nr,1,1,nr,3,2,nr,nr,1,1,2,1,nr,nr,nr,nr,2,1,1,1,2,nr,1,5,
22-01-2015,3,1,0,nr,nr,1,nr,nr,3,0,nr,nr,1,nr,1,1,1,nr,nr,2,nr,2,nr,1,nr,nr,2,0,nr,8,2,nr,nr,1,1,3,1,nr,nr,nr,nr,2,1,1,1,2,nr,1,11,
22-01-2015,4,1,0,nr,nr,1,nr,nr,3,0,nr,nr,1,nr,1,1,1,nr,nr,2,nr,2,nr,2,nr,nr,2,1,nr,6,2,nr,nr,1,1,2,1,nr,nr,nr,nr,2,1,1,1,1,nr,1,7,
22-01-2015,5,0,0,nr,nr,1,nr,nr,2,0,nr,nr,1,nr,1,1,1,nr,nr,2,nr,3,nr,2,nr,nr,3,1,nr,4,1,nr,nr,1,1,3,1,nr,nr,nr,nr,2,1,1,1,1,nr,1,3,
22-01-2015,6,0,0,nr,nr,1,nr,nr,3,1,nr,nr,1,nr,1,1,1,nr,nr,2,nr,2,nr,2,nr,nr,4,1,nr,6,1,nr,nr,4,1,2,1,nr,nr,nr,nr,3,2,1,1,nr,nr,2,5,
22-01-2015,7,1,0,nr,nr,1,nr,nr,7,1,nr,nr,1,nr,1,1,2,nr,nr,2,nr,3,nr,3,nr,nr,5,2,nr,2,2,nr,nr,5,1,4,2,nr,nr,nr,nr,5,2,1,1,2,nr,1,9,
22-01-2015,8,1,0,nr,nr,3,nr,nr,10,3,nr,nr,2,nr,1,2,5,nr,nr,2,nr,5,nr,4,nr,nr,5,3,nr,2,4,nr,nr,6,1,4,2,nr,nr,nr,nr,8,2,1,1,4,nr,2,12,
22-01-2015,9,2,0,nr,nr,3,nr,nr,8,4,nr,nr,2,nr,1,2,5,nr,nr,3,nr,3,nr,5,nr,nr,4,4,nr,4,4,nr,nr,9,1,6,3,nr,nr,nr,nr,7,4,2,2,3,nr,3,7,
22-01-2015,10,1,1,nr,nr,3,nr,nr,4,2,nr,nr,1,nr,1,3,6,nr,nr,2,nr,2,nr,5,nr,nr,2,2,nr,3,3,nr,nr,7,1,4,1,nr,nr,nr,nr,6,5,2,2,2,nr,3,5,
22-01-2015,11,1,1,nr,nr,2,nr,nr,2,1,nr,nr,1,nr,1,3,2,nr,nr,1,nr,1,nr,2,nr,nr,1,1,nr,1,2,nr,nr,6,1,3,1,nr,nr,nr,nr,4,2,2,1,1,nr,3,3,
22-01-2015,12,1,0,nr,nr,1,nr,nr,1,1,nr,nr,1,nr,1,3,nr,nr,nr,1,nr,1,nr,2,nr,nr,1,0,nr,1,1,nr,nr,4,1,1,1,nr,nr,nr,nr,3,1,1,1,1,nr,2,3,
22-01-2015,13,0,0,nr,nr,1,nr,nr,1,0,nr,nr,0,nr,1,2,nr,nr,nr,1,nr,1,nr,1,nr,nr,1,0,nr,1,2,nr,nr,2,1,1,1,nr,nr,nr,nr,2,0,1,1,1,nr,1,2,
