Promedio horarios de coPromedio horarios de co
Fecha,Hora,ACO,AJU,ARA,ATI,AZC,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,HGM,IMP,IZT,LAG,LLA,LPR,MER,NEZ,PED,PLA,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VAL,VIF,XAL,
17-05-2007,14,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.50,nr,0.5,nr,1.3,nr,nr,0.90,nr,0.60,0.3,0.60,nr,nr,1.1,nr,nr,1.5,nr,0.70,0.50,nr,nr,0.20,nr,0.50,0.60,
17-05-2007,16,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.40,nr,0.4,nr,0.7,nr,nr,0.40,nr,0.30,0.1,0.50,nr,nr,0.6,nr,nr,3.1,nr,0.70,0.50,nr,nr,0.00,nr,0.10,0.50,
17-05-2007,17,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.20,nr,0.7,nr,0.8,nr,nr,0.90,nr,0.20,0.1,0.60,nr,nr,0.6,nr,nr,2.1,nr,0.50,0.60,nr,nr,0.00,nr,0.00,0.70,
17-05-2007,18,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.30,nr,0.7,nr,0.9,nr,nr,1.40,nr,0.20,0.2,0.60,nr,nr,0.7,nr,nr,2.1,nr,0.60,0.70,nr,nr,0.30,nr,0.10,0.70,
17-05-2007,19,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.40,nr,0.6,nr,1.2,nr,nr,0.90,nr,0.40,0.3,0.90,nr,nr,0.9,nr,nr,2.3,nr,0.70,0.60,nr,nr,0.20,nr,0.60,0.60,
17-05-2007,20,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.70,nr,0.4,nr,0.9,nr,nr,0.40,nr,0.20,0.3,1.00,nr,nr,0.6,nr,nr,2.2,nr,0.60,0.60,nr,nr,0.10,nr,0.70,0.40,
17-05-2007,21,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.60,nr,0.4,nr,0.9,nr,nr,0.60,nr,0.30,0.2,0.80,nr,nr,1.0,nr,nr,2.3,nr,0.30,0.60,nr,nr,0.10,nr,0.60,0.50,
17-05-2007,22,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.50,nr,0.4,nr,0.9,nr,nr,0.70,nr,0.30,0.3,0.80,nr,nr,0.8,nr,nr,1.4,nr,0.30,0.60,nr,nr,0.10,nr,0.50,0.30,
17-05-2007,23,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.40,nr,0.3,nr,0.8,nr,nr,0.60,nr,0.20,0.2,0.70,nr,nr,0.6,nr,nr,1.3,nr,0.30,0.50,nr,nr,0.10,nr,0.40,0.30,
17-05-2007,24,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.30,nr,0.5,nr,0.6,nr,nr,0.30,nr,0.20,0.0,0.60,nr,nr,0.5,nr,nr,1.2,nr,0.30,0.50,nr,nr,0.00,nr,0.40,0.10,
