Promedio horarios de wspPromedio horarios de wsp
Fecha,Hora,ACO,AJU,ATI,CAM,CES,MON,CHO,COY,CUA,CUT,FAC,HGM,IMP,IZT,LLA,LPR,MER,NEZ,PED,PLA,SAG,SFE,SJA,SUR,TAC,TAH,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-07-2005,13,nr,nr,nr,nr,0.2,1,nr,nr,0.9,nr,0.9,nr,nr,nr,nr,nr,0.4,nr,0.6,0.1,0.7,nr,nr,nr,0.8,0.5,nr,1.4,nr,nr,nr,nr,2.1,0.6,
01-07-2005,14,nr,nr,nr,nr,0.4,1,nr,nr,1.2,nr,0.8,nr,nr,nr,nr,nr,0.4,nr,0.6,0.2,0.6,nr,nr,nr,0.5,0.4,nr,1,nr,nr,nr,nr,1.2,0.6,
01-07-2005,16,nr,nr,nr,nr,0.5,2.2,nr,nr,0.8,nr,1,nr,nr,nr,nr,nr,1,nr,0.5,0.3,1.6,nr,nr,nr,0.8,1.7,nr,1.6,nr,nr,nr,nr,1.6,2.2,
01-07-2005,17,nr,nr,nr,nr,1,2.1,nr,nr,1.8,nr,1.9,nr,nr,nr,nr,nr,1.3,nr,1.4,nr,1.1,nr,nr,nr,1.6,3,nr,1.7,nr,nr,nr,nr,1.2,1.7,
01-07-2005,18,nr,nr,nr,nr,0.8,0.9,nr,nr,1,nr,0.4,nr,nr,nr,nr,nr,0.5,nr,0.7,nr,0.3,nr,nr,nr,0.4,1.3,nr,0.9,nr,nr,nr,nr,0.6,0.2,
01-07-2005,19,nr,nr,nr,nr,0.3,0.8,nr,nr,1.9,nr,0.4,nr,nr,nr,nr,nr,0.1,nr,0.4,0.4,0.7,nr,nr,nr,0.7,0.8,nr,0.4,nr,nr,nr,nr,0.8,0.6,
01-07-2005,20,nr,nr,nr,nr,0.1,0.9,nr,nr,0.9,nr,0.3,nr,nr,nr,nr,nr,0.4,nr,0,0.2,0.4,nr,nr,nr,0.7,1.2,nr,0.8,nr,nr,nr,nr,0.3,0.2,
01-07-2005,21,nr,nr,nr,nr,0.4,0.1,nr,nr,1.2,nr,0.5,nr,nr,nr,nr,nr,0.2,nr,0.7,0.6,0.2,nr,nr,nr,0.6,0.6,nr,0.6,nr,nr,nr,nr,0.1,0.4,
01-07-2005,22,nr,nr,nr,nr,0.1,0.4,nr,nr,0.8,nr,0.5,nr,nr,nr,nr,nr,0.1,nr,0.6,0.5,0,nr,nr,nr,0.7,0.5,nr,0.4,nr,nr,nr,nr,0.6,0.2,
01-07-2005,23,nr,nr,nr,nr,0.3,0.6,nr,nr,0.8,nr,0.2,nr,nr,nr,nr,nr,0,nr,0.6,0.4,0.3,nr,nr,nr,0.6,0.5,nr,0.7,nr,nr,nr,nr,0.7,0.3,
01-07-2005,24,nr,nr,nr,nr,0.1,0.6,nr,nr,1,nr,0.3,nr,nr,nr,nr,nr,0.3,nr,0.4,0.3,0.4,nr,nr,nr,0.4,0.3,nr,0.5,nr,nr,nr,nr,0.4,0.4,
02-07-2005,1,nr,nr,nr,nr,0.2,0.6,nr,nr,0.8,nr,0.4,nr,nr,nr,nr,nr,0.2,nr,0.3,0.3,0.3,nr,nr,nr,0.4,0.4,nr,0.4,nr,nr,nr,nr,0.5,0.2,
02-07-2005,2,nr,nr,nr,nr,0.2,1.2,nr,nr,0.7,nr,0.3,nr,nr,nr,nr,nr,0,nr,0.4,0.4,0,nr,nr,nr,0.2,1,nr,0.3,nr,nr,nr,nr,0.3,0,
02-07-2005,3,nr,nr,nr,nr,0.1,0.8,nr,nr,1.2,nr,0.5,nr,nr,nr,nr,nr,0.2,nr,0.5,0.4,0.2,nr,nr,nr,0.4,1.4,nr,0.4,nr,nr,nr,nr,0.4,0.3,
02-07-2005,4,nr,nr,nr,nr,0.1,0.2,nr,nr,1.8,nr,0.4,nr,nr,nr,nr,nr,0.4,nr,0.4,0.3,0.4,nr,nr,nr,0.3,0.3,nr,0.3,nr,nr,nr,nr,0.6,0.5,
02-07-2005,5,nr,nr,nr,nr,0.1,0.4,nr,nr,1.6,nr,0.4,nr,nr,nr,nr,nr,0.3,nr,0.3,0.4,0.6,nr,nr,nr,0.1,0.9,nr,0.7,nr,nr,nr,nr,0.4,0.4,
02-07-2005,6,nr,nr,nr,nr,0.1,0.8,nr,nr,0.6,nr,0.3,nr,nr,nr,nr,nr,0.4,nr,0.4,0.3,0.6,nr,nr,nr,0.2,1.3,nr,0.4,nr,nr,nr,nr,0,0.2,
02-07-2005,7,nr,nr,nr,nr,0.1,0.8,nr,nr,0.4,nr,0.4,nr,nr,nr,nr,nr,0.2,nr,0.3,0.3,0.5,nr,nr,nr,0.3,1,nr,0.7,nr,nr,nr,nr,0.3,0.2,
02-07-2005,8,nr,nr,nr,nr,0.2,1.1,nr,nr,0.4,nr,0.1,nr,nr,nr,nr,nr,0.5,nr,0.1,0.1,0.4,nr,nr,nr,0.2,0.6,nr,0.4,nr,nr,nr,nr,0.9,0.6,
02-07-2005,9,nr,nr,nr,nr,0.1,0.3,nr,nr,0.4,nr,0.2,nr,nr,nr,nr,nr,0.1,nr,0.3,0.3,0.3,nr,nr,nr,0.3,1.2,nr,0.4,nr,nr,nr,nr,0.7,0.3,
02-07-2005,10,nr,nr,nr,nr,0.2,1.4,nr,nr,0.8,nr,0.9,nr,nr,nr,nr,nr,0.9,nr,0.7,0.3,0.5,nr,nr,nr,0.9,1.5,nr,1,nr,nr,nr,nr,0.8,0.6,
02-07-2005,11,nr,nr,nr,nr,0.1,0.8,nr,nr,0.9,nr,0.9,nr,nr,nr,nr,nr,0.6,nr,0.9,0.3,0.6,nr,nr,nr,0.7,1.4,nr,0.9,nr,nr,nr,nr,0.7,0.3,
02-07-2005,12,nr,nr,nr,nr,0.4,0.6,nr,nr,1.1,nr,0.8,nr,nr,nr,nr,nr,0.4,nr,0.8,0.2,0.8,nr,nr,nr,0.6,1.2,nr,0.7,nr,nr,nr,nr,0.7,0.4,
02-07-2005,13,nr,nr,nr,nr,0.2,0.9,nr,nr,1.2,nr,0.8,nr,nr,nr,nr,nr,nr,nr,0.7,0.2,0.8,nr,nr,nr,0.4,1.2,nr,0.8,nr,nr,nr,nr,0.8,0.9,
02-07-2005,14,nr,nr,nr,nr,0.4,1.3,nr,nr,1.1,nr,0.6,nr,nr,nr,nr,nr,0.4,nr,0.5,0.1,0.6,nr,nr,nr,0.3,1.2,nr,0.5,nr,nr,nr,nr,1.2,0.4,
02-07-2005,16,nr,nr,nr,nr,1.2,2.5,nr,nr,1.5,nr,2.2,nr,nr,nr,nr,nr,1.6,nr,1.5,0.8,1.2,nr,nr,nr,1.9,1.6,nr,2.5,nr,nr,nr,nr,1.2,2.1,
02-07-2005,17,nr,nr,nr,nr,1,2.9,nr,nr,1.7,nr,1.9,nr,nr,nr,nr,nr,1.3,nr,1.2,0.2,1.2,nr,nr,nr,1.7,1.9,nr,2.1,nr,nr,nr,nr,1.3,1.7,
02-07-2005,18,nr,nr,nr,nr,0.4,1.2,nr,nr,1.2,nr,1.3,nr,nr,nr,nr,nr,0.9,nr,0.6,0.5,1.2,nr,nr,nr,0.9,1.7,nr,1.4,nr,nr,nr,nr,1.5,1.5,
02-07-2005,19,nr,nr,nr,nr,0.5,0.9,nr,nr,1,nr,1,nr,nr,nr,nr,nr,0.5,nr,0.2,0.1,0.6,nr,nr,nr,0.6,0.9,nr,1.3,nr,nr,nr,nr,0.5,0.8,
02-07-2005,20,nr,nr,nr,nr,0.1,1.4,nr,nr,0.5,nr,1.1,nr,nr,nr,nr,nr,0.4,nr,0.5,0.2,0.4,nr,nr,nr,0.9,0.5,nr,1.1,nr,nr,nr,nr,0.5,0.5,
02-07-2005,21,nr,nr,nr,nr,0.2,0.5,nr,nr,0.5,nr,0.7,nr,nr,nr,nr,nr,0.2,nr,0.4,0.4,0.4,nr,nr,nr,0.8,1,nr,1,nr,nr,nr,nr,0.5,0.3,
02-07-2005,22,nr,nr,nr,nr,0.3,0.9,nr,nr,0.3,nr,0.9,nr,nr,nr,nr,nr,0.7,nr,0.5,0.6,0.5,nr,nr,nr,0.9,0.8,nr,1.1,nr,nr,nr,nr,0.2,0.1,
02-07-2005,23,nr,nr,nr,nr,0.2,0.4,nr,nr,0.6,nr,1,nr,nr,nr,nr,nr,0.5,nr,0.5,0.4,0.5,nr,nr,nr,1,0.5,nr,1.3,nr,nr,nr,nr,0.2,0.5,
02-07-2005,24,nr,nr,nr,nr,0.4,0.1,nr,nr,0.7,nr,1,nr,nr,nr,nr,nr,0.4,nr,0.5,0.5,0.4,nr,nr,nr,0.9,0.8,nr,1.2,nr,nr,nr,nr,0.3,0.4,
03-07-2005,1,nr,nr,nr,nr,0.1,1.1,nr,nr,0.8,nr,0.4,nr,nr,nr,nr,nr,0.8,nr,0.2,0.3,0.4,nr,nr,nr,0.6,0.2,nr,0.9,nr,nr,nr,nr,0.4,0.3,
03-07-2005,2,nr,nr,nr,nr,0,1.3,nr,nr,0.5,nr,0.4,nr,nr,nr,nr,nr,0.8,nr,nr,nr,0.2,nr,nr,nr,0.5,1.2,nr,0.8,nr,nr,nr,nr,0.2,0.3,
03-07-2005,3,nr,nr,nr,nr,0.3,1.4,nr,nr,1,nr,0.3,nr,nr,nr,nr,nr,0.5,nr,nr,nr,0.4,nr,nr,nr,0.5,0.3,nr,0.8,nr,nr,nr,nr,0.1,0.2,
03-07-2005,4,nr,nr,nr,nr,0.2,0.8,nr,nr,0.2,nr,0.3,nr,nr,nr,nr,nr,0.4,nr,nr,nr,0.4,nr,nr,nr,0.4,0.4,nr,0.6,nr,nr,nr,nr,0.2,0.2,
03-07-2005,5,nr,nr,nr,nr,0.3,0.8,nr,nr,0.6,nr,0.4,nr,nr,nr,nr,nr,0.3,nr,0.4,0.3,0.5,nr,nr,nr,0.1,0.6,nr,0.5,nr,nr,nr,nr,0.3,0.1,
03-07-2005,6,nr,nr,nr,nr,0.3,0.6,nr,nr,0.8,nr,0.4,nr,nr,nr,nr,nr,0.2,nr,0.4,0.2,0.4,nr,nr,nr,0.4,0.9,nr,0.6,nr,nr,nr,nr,0.1,0.1,
03-07-2005,7,nr,nr,nr,nr,0,0.9,nr,nr,0.4,nr,0.4,nr,nr,nr,nr,nr,0.2,nr,0.3,0.2,0.3,nr,nr,nr,0.5,0.9,nr,0.6,nr,nr,nr,nr,0.2,0.2,
03-07-2005,8,nr,nr,nr,nr,0.2,0.7,nr,nr,0.8,nr,0.3,nr,nr,nr,nr,nr,0.7,nr,nr,nr,0.1,nr,nr,nr,0.8,0.5,nr,0.8,nr,nr,nr,nr,0.6,0.4,
03-07-2005,9,nr,nr,nr,nr,0.4,0.8,nr,nr,0.2,nr,0.4,nr,nr,nr,nr,nr,0.6,nr,nr,nr,0.5,nr,nr,nr,0.8,0.6,nr,0.8,nr,nr,nr,nr,1.2,0.6,
03-07-2005,10,nr,nr,nr,nr,0.4,0.5,nr,nr,0.6,nr,0.6,nr,nr,nr,nr,nr,0.5,nr,nr,nr,0.4,nr,nr,nr,0.4,1.2,nr,0.6,nr,nr,nr,nr,0.4,0.4,
03-07-2005,11,nr,nr,nr,nr,0.4,0.2,nr,nr,0.6,nr,0.6,nr,nr,nr,nr,nr,0.3,nr,0.6,0.2,0.4,nr,nr,nr,0.4,0.7,nr,0.4,nr,nr,nr,nr,0.9,nr,
03-07-2005,12,nr,nr,nr,nr,0.2,0.8,nr,nr,0.5,nr,nr,nr,nr,nr,nr,nr,0.4,nr,0.6,0.1,0.4,nr,nr,nr,0.4,0.7,nr,0.8,nr,nr,nr,nr,0.9,nr,
